Math477AsianOption Simulations

n=1000000
10 times


[1] 2.583052
[1] 2.591902
[1] 2.586575
[1] 2.593908
[1] 2.591255
[1] 2.589984
[1] 2.593249
[1] 2.589787
[1] 2.592156
[1] 2.582611


[1] 2.584166
[1] 2.58657
[1] 2.593191
[1] 2.580017
[1] 2.590301
[1] 2.585524
[1] 2.577935
[1] 2.590412
[1] 2.585243
[1] 2.587685

[1] 2.591408
[1] 2.595449
[1] 2.59188
[1] 2.585768
[1] 2.586661
[1] 2.590206
[1] 2.581615
[1] 2.583396
[1] 2.590445
[1] 2.593783


n=10000000

10 times

[1] 2.58967
[1] 2.589254
[1] 2.589807
[1] 2.590712
[1] 2.592017
[1] 2.588464
[1] 2.588763
[1] 2.589091
[1] 2.592137
[1] 2.587588


[1] 2.586879
[1] 2.588078
[1] 2.590248
[1] 2.587958
[1] 2.592422
[1] 2.589786
[1] 2.588744
[1] 2.58821
[1] 2.590757
[1] 2.589981





